Glass Name,Source,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Specific Heat,Tensile Strength,Compressive Strength
GERMANIUM,Custom,91000000000,0.24,28086000000,0.0000023,5300.0 kg/m³,1.64,821,N/A,N/A
ZINC SELENIDE,Custom,70326500000,0.28,28086000000,0.000007,5264.0 kg/m³,16,339,N/A,N/A
SUPRASIL 312,Custom,9.10E+10,0.24,2.81E+10,7.00E-06,2200.0 kg/m³,1.64,821,N/A,N/A
INFRASIL 301,Custom,2000000000,0.394,318900000,N/A,1020.0 kg/m³,0.2256,1386,30000000,N/A
INFRASIL 302,Custom,2.00E+09,0.394,3.19E+08,N/A,1020.0 kg/m³,0.2256,1.39E+03,3.00E+07,N/A
NYLON 6/6,Custom,1310004137,0.41,44815931,N/A,1134.88 kg/m³,0.26,1670,3998599.97,N/A
PMMA,Custom,3100006144,0.3859,2620004352,N/A,1419.979492 kg/m³,0.37,1470,68999936,N/A
REXOLITE,Custom,3100006144,0.3859,2620004352,N/A,1419.979492 kg/m³,0.37,1470,68999936,N/A
ACRYLIC,Custom,3100006144,0.3859,2620004352,N/A,1419.979492 kg/m³,0.37,1470,68999936,N/A
POLYCARBONATE,Custom,3100006144,0.3859,2620004352,N/A,1419.98 kg/m³,0.37,1470,68999936,N/A
OIL FILLED NYLON,Custom,3100006144,0.41,89631864,N/A,1431.051514 kg/m³,0.37,1470,86184480,N/A
VESPEL,Custom,3100006144,0.41,89631864,N/A,1431.051514 kg/m³,0.37,1470,86184480,N/A
BLACK DELRIN,Custom,3100006200,0.3859,2620004340,N/A,1419.979512 kg/m³,0.37,1470,68999938,N/A
ARTUS PLASTIC SHIM STOCK,Custom,1999997105,0.394,318899822.8,N/A,1019.99924 kg/m³,0.2256,1386,29999991.05,N/A
ULTEM 1000  BLK,Custom,3510000000,0.3,N/A,5.58E-05,1270.0 kg/m³,0.22,N/A,110000000,N/A
ZEONNEX E48R,Custom,2500000000,0.3,2620004352,7.00E-05,1010.0 kg/m³,N/A,N/A,71000000,N/A
DELRIN 150 NC010,Custom,2900000000,0,N/A,N/A,1420.0 kg/m³,N/A,N/A,3100000000,N/A
TEFLON FEP FILM,Custom,480000000,N/A,N/A,1,2150.0 kg/m³,0.195,1172,21,N/A
POLYLACTIC ACID (PLA) BIOPOLYMER,Custom,3500000000,0.36,1287000000,N/A,1251.5 kg/m³,0.111,1590,59000000,N/A
BUNA-N,Custom,N/A,N/A,N/A,N/A,989.9388553 kg/m³,N/A,N/A,6205282.754,N/A
SILICONE 70,Custom,2.00E+09,0.394,3.19E+08,N/A,1020.0 kg/m³,0.2256,1.39E+03,3.00E+07,N/A
DYMAX OP-29,Custom,241316505.4,0.33,N/A,0.000095,1050.0 kg/m³,N/A,N/A,20684271.89,N/A
736 RED RTV,Custom,N/A,N/A,N/A,N/A,1040.764711 kg/m³,N/A,N/A,2400065.474,N/A
732 BLACK RTV,Custom,N/A,N/A,N/A,N/A,1040.764711 kg/m³,N/A,N/A,2300091.474,N/A
3M 2216 B/A,Custom,1,0.47,17021000,0.000102,1800.0 kg/m³,0.394,500,18546897,N/A
CONAP EN-11,Custom,1500000,0.4,N/A,0.00022,2767.991252 kg/m³,N/A,N/A,20684271.89,N/A
DYMAX OP-4,Custom,5516000000,0.3,N/A,9.10E-05,2768.0 kg/m³,N/A,N/A,61360000,15170000
3M DP110 A/B GREY,Custom,N/A,N/A,N/A,0.000165,1100.0 kg/m³,0.104,N/A,22000000,N/A
NuSil SCV2-2590,Custom,N/A,0.16,N/A,0.00049,1040.0 kg/m³,N/A,N/A,3280000,N/A
NuSil CV-2566,Custom,N/A,0.49,N/A,0.00049,1040.0 kg/m³,N/A,N/A,3280000,N/A
Hexcel AS4C (3000 Filaments),Custom,2.31E+11,N/A,N/A,N/A,1780.0 kg/m³,N/A,N/A,4150000000,N/A
Thornel Mat VMA,Custom,1.70E+11,N/A,N/A,N/A,2000.0 kg/m³,0.41,N/A,1400000000,N/A
Thornel VCB-20 Carbon Cloth,Custom,N/A,N/A,N/A,N/A,1880.0 kg/m³,N/A,N/A,N/A,N/A
Zoltek Panex 33,Custom,N/A,0.1,N/A,N/A,1810.0 kg/m³,N/A,N/A,N/A,N/A
Graphtek Unidirectional Pultruded,Custom,N/A,0.1,65500000,N/A,1490.0 kg/m³,N/A,N/A,1379000000,N/A
GRANITE,Custom,2.00E+10,0.394,318900000,3.7,2600.0 kg/m³,1.2,0.21,10000000,N/A
NEODYMIUM-IRON-BORON,Custom,N/A,0.24,N/A,3.4,7500.0 kg/m³,7.7,1386,N/A,780
C260 Brass,Custom,1.10E+11,N/A,N/A,19.98,8525.413055 kg/m³,121,N/A,N/A,N/A
Garolite G-10 Fiberglass Epoxy Laminate,Custom,2.00E+09,0.394,3.19E+08,N/A,1020.0 kg/m³,0.2256,1.39E+03,3.00E+07,N/A
HOQ 310,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Infrasil 301,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Infrasil 302,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Spectrosil 2000,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 1,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 1 ArF/KrF,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 2 ArF/KrF,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
SUPRASIL 2A,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 2B,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 300,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 311,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 312,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 313,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 3001,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 3002,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 3301,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil 3302,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil CG,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
Suprasil UVL,Optical,7.25E+10,0.17,3.10E+10,5.10E-07,2200.0 kg/m³,1.38,772,50000000,1150000000
OHARA L-BAL35,Optical,1.01E+11,0.252,4.03E+10,0.0000066,2820.0 kg/m³,1.126,N/A,N/A,N/A
OHARA L-BAL42,Optical,8.91E+10,0.247,3.57E+10,0.0000072,3050.0 kg/m³,1.028,N/A,N/A,N/A
OHARA L-BAL43,Optical,9.04E+10,0.25,3.62E+10,0.0000072,3050.0 kg/m³,1.028,N/A,N/A,N/A
OHARA L-BBH1,Optical,6.88E+10,0.268,2.72E+10,0.0000107,6570.0 kg/m³,0.653,N/A,N/A,N/A
OHARA L-BBH2,Optical,7.50E+10,0.269,2.96E+10,0.0000084,6740.0 kg/m³,0.64,N/A,N/A,N/A
OHARA L-BSL7,Optical,7.93E+10,0.214,3.27E+10,0.0000058,2380.0 kg/m³,1.169,N/A,N/A,N/A
OHARA L-LAH53,Optical,1.15E+11,0.298,4.43E+10,0.0000059,4490.0 kg/m³,0.862,N/A,N/A,N/A
OHARA L-LAH81,Optical,1.13E+11,0.3,4.34E+10,0.0000058,4530.0 kg/m³,0.86,N/A,N/A,N/A
OHARA L-LAH83,Optical,1.27E+11,0.299,4.89E+10,6.80E-06,5290.0 kg/m³,0.894,N/A,N/A,N/A
OHARA L-LAH84,Optical,1.12E+11,0.303,4.28E+10,0.0000064,4620.0 kg/m³,0.875,N/A,N/A,N/A
OHARA L-LAH85,Optical,1.26E+11,0.296,4.87E+10,0.0000065,5090.0 kg/m³,0.881,N/A,N/A,N/A
OHARA L-LAH85V,Optical,N/A,N/A,N/A,6.30E-06,5250.0 kg/m³,0.819,N/A,N/A,N/A
OHARA L-LAH86,Optical,1.09E+11,0.302,4.18E+10,0.0000061,4900.0 kg/m³,0.838,N/A,N/A,N/A
OHARA L-LAH87,Optical,1.15E+11,0.301,4.41E+10,0.0000071,4340.0 kg/m³,0.92,N/A,N/A,N/A
OHARA L-LAH90,Optical,1.15E+11,0.304,4.40E+10,0.0000063,4650.0 kg/m³,0.839,N/A,N/A,N/A
OHARA L-LAH91,Optical,1.14E+11,0.301,4.39E+10,0.0000057,4290.0 kg/m³,0.841,N/A,N/A,N/A
OHARA L-LAL12,Optical,1.10E+11,0.28,4.28E+10,0.0000076,3480.0 kg/m³,0.925,N/A,N/A,N/A
OHARA L-LAL13,Optical,1.08E+11,0.285,4.19E+10,0.0000076,3690.0 kg/m³,0.887,N/A,N/A,N/A
OHARA L-LAM60,Optical,1.15E+11,0.289,4.45E+10,0.0000074,4200.0 kg/m³,0.876,N/A,N/A,N/A
OHARA L-LAM69,Optical,1.13E+11,0.273,4.45E+10,0.0000086,3240.0 kg/m³,1.114,N/A,N/A,N/A
OHARA L-LAM72,Optical,1.18E+11,0.283,4.60E+10,0.0000066,3890.0 kg/m³,N/A,N/A,N/A,N/A
OHARA L-NBH54,Optical,1.09E+11,0.205,4.54E+10,0.0000081,3640.0 kg/m³,1.184,N/A,N/A,N/A
OHARA L-PHL1,Optical,6.89E+10,0.28,2.30E+10,0.0000105,3180.0 kg/m³,0.627,N/A,N/A,N/A
OHARA L-PHL2,Optical,6.45E+10,0.272,2.53E+10,0.0000099,3030.0 kg/m³,0.683,N/A,N/A,N/A
OHARA L-TIH53,Optical,N/A,N/A,N/A,0.0000078,3340.0 kg/m³,1.044,N/A,N/A,N/A
OHARA L-TIM28,Optical,8.45E+10,0.254,3.37E+10,0.0000101,2880.0 kg/m³,1.02,N/A,N/A,N/A
OHARA S-BAH10,Optical,9.62E+10,0.273,3.78E+10,0.0000068,3480.0 kg/m³,0.902,N/A,N/A,N/A
OHARA S-BAH11,Optical,9.29E+10,0.274,3.65E+10,0.0000069,3590.0 kg/m³,0.858,N/A,N/A,N/A
OHARA S-BAH27,Optical,9.36E+10,0.272,3.68E+10,0.0000064,3670.0 kg/m³,0.869,N/A,N/A,N/A
OHARA S-BAH28,Optical,9.11E+10,0.213,3.75E+10,0.0000066,3670.0 kg/m³,0.889,N/A,N/A,N/A
OHARA S-BAH32,Optical,9.04E+10,0.26,3.59E+10,0.0000069,3260.0 kg/m³,0.921,N/A,N/A,N/A
OHARA S-BAL2,Optical,7.27E+10,0.245,2.92E+10,0.0000091,2890.0 kg/m³,0.901,N/A,N/A,N/A
OHARA S-BAL3,Optical,7.19E+10,0.249,2.88E+10,0.0000095,2980.0 kg/m³,0.864,N/A,N/A,N/A
OHARA S-BAL11,Optical,8.19E+10,0.237,3.31E+10,0.0000066,3020.0 kg/m³,0.974,N/A,N/A,N/A
OHARA S-BAL12,Optical,7.10E+10,0.161,3.06E+10,0.0000086,2750.0 kg/m³,0.982,N/A,N/A,N/A
OHARA S-BAL14,Optical,8.11E+10,0.24,3.27E+10,0.000008,2890.0 kg/m³,0.967,N/A,N/A,N/A
OHARA S-BAL35,Optical,8.32E+10,0.25,3.33E+10,0.0000057,3310.0 kg/m³,0.915,N/A,N/A,N/A
OHARA S-BAL41,Optical,8.90E+10,0.242,3.58E+10,0.0000075,2780.0 kg/m³,1.043,N/A,N/A,N/A
OHARA S-BAL42,Optical,8.47E+10,0.246,3.40E+10,0.0000066,3190.0 kg/m³,0.974,N/A,N/A,N/A
OHARA S-BAM3,Optical,7.71E+10,0.242,3.11E+10,0.0000085,2750.0 kg/m³,0.965,N/A,N/A,N/A
OHARA S-BAM4,Optical,7.62E+10,0.244,3.06E+10,0.0000084,2910.0 kg/m³,0.931,N/A,N/A,N/A
OHARA S-BAM12,Optical,9.04E+10,0.253,3.61E+10,0.0000076,3180.0 kg/m³,0.954,N/A,N/A,N/A
OHARA S-BSL7,Optical,8.00E+10,0.205,3.32E+10,0.0000072,2520.0 kg/m³,1.13,N/A,N/A,N/A
OHARA S-BSM2,Optical,7.80E+10,0.264,3.09E+10,0.0000065,3530.0 kg/m³,0.802,N/A,N/A,N/A
OHARA S-BSM4,Optical,8.16E+10,0.265,3.22E+10,0.0000067,3570.0 kg/m³,0.836,N/A,N/A,N/A
OHARA S-BSM9,Optical,8.65E+10,0.264,3.42E+10,0.0000064,3220.0 kg/m³,0.916,N/A,N/A,N/A
OHARA S-BSM10,Optical,8.35E+10,0.266,3.30E+10,0.0000065,3600.0 kg/m³,0.822,N/A,N/A,N/A
OHARA S-BSM14,Optical,8.49E+10,0.257,3.38E+10,0.0000062,3430.0 kg/m³,0.891,N/A,N/A,N/A
OHARA S-BSM15,Optical,8.54E+10,0.265,3.38E+10,0.0000065,3600.0 kg/m³,0.845,N/A,N/A,N/A
OHARA S-BSM16,Optical,8.78E+10,0.262,3.48E+10,0.0000067,3590.0 kg/m³,0.835,N/A,N/A,N/A
OHARA S-BSM18,Optical,8.85E+10,0.268,3.49E+10,0.000007,3690.0 kg/m³,0.815,N/A,N/A,N/A
OHARA S-BSM22,Optical,8.74E+10,0.265,3.45E+10,0.0000066,3240.0 kg/m³,0.916,N/A,N/A,N/A
OHARA S-BSM25,Optical,9.51E+10,0.272,3.74E+10,6.80E-06,3500.0 kg/m³,0.891,N/A,N/A,N/A
OHARA S-BSM28,Optical,8.53E+10,0.258,3.39E+10,0.0000084,3230.0 kg/m³,0.878,N/A,N/A,N/A
OHARA S-BSM71,Optical,8.62E+10,0.273,3.39E+10,0.0000071,3740.0 kg/m³,0.773,N/A,N/A,N/A
OHARA S-BSM81,Optical,1.06E+11,0.271,4.16E+10,0.0000058,3060.0 kg/m³,1.001,N/A,N/A,N/A
OHARA S-FPL51,Optical,7.27E+10,0.299,2.80E+10,0.0000131,3620.0 kg/m³,0.78,N/A,N/A,N/A
OHARA S-FPL53,Optical,6.91E+10,0.303,2.65E+10,0.0000145,3620.0 kg/m³,0.857,N/A,N/A,N/A
OHARA S-FPL55,Optical,6.98E+10,0.302,2.68E+10,0.0000136,3590.0 kg/m³,0.876,N/A,N/A,N/A
OHARA S-FPM2,Optical,7.57E+10,0.287,2.94E+10,0.0000117,4170.0 kg/m³,0.624,N/A,N/A,N/A
OHARA S-FPM3,Optical,8.06E+10,0.291,3.12E+10,0.0000115,3640.0 kg/m³,0.805,N/A,N/A,N/A
OHARA S-FSL5,Optical,6.23E+10,0.227,2.54E+10,0.000009,2460.0 kg/m³,1.007,N/A,N/A,N/A
OHARA S-FTM16,Optical,6.53E+10,0.238,2.64E+10,0.000009,2640.0 kg/m³,0.947,N/A,N/A,N/A
OHARA S-LAH51,Optical,1.13E+11,0.297,4.35E+10,0.0000059,4400.0 kg/m³,0.826,N/A,N/A,N/A
OHARA S-LAH52,Optical,1.12E+11,0.297,4.31E+10,0.000006,4410.0 kg/m³,0.828,N/A,N/A,N/A
OHARA S-LAH53,Optical,1.13E+11,0.299,4.34E+10,0.0000059,4430.0 kg/m³,0.86,N/A,N/A,N/A
OHARA S-LAH55V,Optical,1.18E+11,0.253,4.70E+10,0.0000062,4730.0 kg/m³,0.853,N/A,N/A,N/A
OHARA S-LAH58,Optical,1.27E+11,0.301,4.87E+10,0.0000066,5520.0 kg/m³,0.827,N/A,N/A,N/A
OHARA S-LAH59,Optical,1.25E+11,0.298,4.82E+10,0.0000063,5070.0 kg/m³,0.816,N/A,N/A,N/A
OHARA S-LAH60,Optical,1.25E+11,0.296,4.81E+10,0.0000056,4430.0 kg/m³,0.872,N/A,N/A,N/A
OHARA S-LAH63,Optical,1.12E+11,0.295,4.33E+10,0.0000058,4340.0 kg/m³,0.849,N/A,N/A,N/A
OHARA S-LAH64,Optical,1.22E+11,0.294,4.37E+10,0.0000061,4300.0 kg/m³,0.856,N/A,N/A,N/A
OHARA S-LAH65V,Optical,1.22E+11,0.298,4.70E+10,0.000006,4720.0 kg/m³,0.841,N/A,N/A,N/A
OHARA S-LAH66,Optical,1.22E+11,0.291,4.72E+10,0.0000062,4230.0 kg/m³,0.845,N/A,N/A,N/A
OHARA S-LAH71,Optical,1.10E+11,0.281,4.29E+10,0.0000077,4360.0 kg/m³,0.874,N/A,N/A,N/A
OHARA S-LAH79,Optical,1.26E+11,0.297,4.84E+10,0.000006,5230.0 kg/m³,0.957,N/A,N/A,N/A
OHARA S-LAH88,Optical,1.14E+11,0.242,4.57E+10,0.0000057,4740.0 kg/m³,0.894,N/A,N/A,N/A
OHARA S-LAH89,Optical,1.21E+11,0.303,4.63E+10,6.80E-06,4700.0 kg/m³,0.861,N/A,N/A,N/A
OHARA S-LAH92,Optical,1.23E+11,0.306,4.71E+10,0.0000075,4870.0 kg/m³,0.873,N/A,N/A,N/A
OHARA S-LAL7,Optical,9.58E+10,0.271,3.77E+10,0.0000067,3730.0 kg/m³,0.825,N/A,N/A,N/A
OHARA S-LAL8,Optical,1.14E+11,0.289,4.42E+10,0.0000061,3790.0 kg/m³,0.894,N/A,N/A,N/A
OHARA S-LAL9,Optical,1.08E+11,0.287,4.18E+10,0.0000061,3630.0 kg/m³,0.895,N/A,N/A,N/A
OHARA S-LAL10,Optical,1.06E+11,0.294,4.10E+10,0.0000061,3860.0 kg/m³,0.85,N/A,N/A,N/A
OHARA S-LAL12,Optical,9.10E+10,0.284,3.54E+10,0.0000072,4010.0 kg/m³,0.717,N/A,N/A,N/A
OHARA S-LAL13,Optical,1.07E+11,0.29,4.16E+10,0.0000057,3600.0 kg/m³,0.893,N/A,N/A,N/A
OHARA S-LAL14,Optical,1.12E+11,0.284,4.35E+10,0.0000057,3700.0 kg/m³,0.908,N/A,N/A,N/A
OHARA S-LAL18,Optical,1.20E+11,0.289,4.67E+10,0.0000059,4180.0 kg/m³,0.871,N/A,N/A,N/A
OHARA S-LAL54,Optical,8.77E+10,0.277,3.43E+10,0.0000071,3820.0 kg/m³,0.761,N/A,N/A,N/A
OHARA S-LAL56,Optical,9.11E+10,0.28,3.56E+10,0.0000066,3850.0 kg/m³,0.778,N/A,N/A,N/A
OHARA S-LAL58,Optical,9.28E+10,0.285,3.61E+10,0.0000075,4030.0 kg/m³,0.728,N/A,N/A,N/A
OHARA S-LAL59,Optical,1.14E+11,0.293,4.40E+10,0.0000055,4040.0 kg/m³,0.863,N/A,N/A,N/A
OHARA S-LAL61,Optical,1.19E+11,0.291,4.61E+10,0.0000057,4040.0 kg/m³,0.861,N/A,N/A,N/A
OHARA S-LAM2,Optical,9.35E+10,0.295,3.61E+10,0.0000074,4320.0 kg/m³,0.698,N/A,N/A,N/A
OHARA S-LAM3,Optical,8.68E+10,0.294,3.35E+10,0.000008,4250.0 kg/m³,0.655,N/A,N/A,N/A
OHARA S-LAM7,Optical,9.70E+10,0.273,3.81E+10,0.0000067,3810.0 kg/m³,0.871,N/A,N/A,N/A
OHARA S-LAM51,Optical,1.01E+11,0.278,3.94E+10,0.0000071,3790.0 kg/m³,0.867,N/A,N/A,N/A
OHARA S-LAM52,Optical,9.57E+10,0.278,3.74E+10,0.0000077,3950.0 kg/m³,0.801,N/A,N/A,N/A
OHARA S-LAM54,Optical,1.17E+11,0.292,4.54E+10,0.0000057,4080.0 kg/m³,0.891,N/A,N/A,N/A
OHARA S-LAM55,Optical,9.67E+10,0.292,3.74E+10,0.0000071,4220.0 kg/m³,0.741,N/A,N/A,N/A
OHARA S-LAM58,Optical,9.19E+10,0.279,3.59E+10,0.0000066,4000.0 kg/m³,0.771,N/A,N/A,N/A
OHARA S-LAM59,Optical,1.01E+11,0.277,3.94E+10,0.0000071,3770.0 kg/m³,0.847,N/A,N/A,N/A
OHARA S-LAM60,Optical,1.13E+11,0.294,4.38E+10,0.0000054,4060.0 kg/m³,0.845,N/A,N/A,N/A
OHARA S-LAM61,Optical,9.37E+10,0.29,3.63E+10,0.0000066,4100.0 kg/m³,0.732,N/A,N/A,N/A
OHARA S-LAM66,Optical,1.21E+11,0.28,4.73E+10,0.0000079,3550.0 kg/m³,1.062,N/A,N/A,N/A
OHARA S-NBH5,Optical,9.02E+10,0.248,3.61E+10,0.0000066,3020.0 kg/m³,0.965,N/A,N/A,N/A
OHARA S-NBH8,Optical,1.02E+11,0.25,4.07E+10,0.0000081,3190.0 kg/m³,1.052,N/A,N/A,N/A
OHARA S-NBH51,Optical,1.10E+11,0.253,4.38E+10,0.0000073,3290.0 kg/m³,1.124,N/A,N/A,N/A
OHARA S-NBH52,Optical,9.79E+10,0.236,3.96E+10,0.0000086,3090.0 kg/m³,1.115,N/A,N/A,N/A
OHARA S-NBH53,Optical,1.03E+11,0.236,4.17E+10,0.0000069,3280.0 kg/m³,1.117,N/A,N/A,N/A
OHARA S-NBH55,Optical,1.05E+11,0.269,4.15E+10,0.0000082,3680.0 kg/m³,0.994,N/A,N/A,N/A
OHARA S-NBH56,Optical,1.07E+11,0.249,4.27E+10,0.0000077,3490.0 kg/m³,1.12,N/A,N/A,N/A
OHARA S-NBH57,Optical,1.12E+11,0.275,4.38E+10,0.0000077,4000.0 kg/m³,0.988,N/A,N/A,N/A
OHARA S-NBM51,Optical,8.17E+10,0.243,3.29E+10,0.0000065,2930.0 kg/m³,0.904,N/A,N/A,N/A
OHARA S-NPH1,Optical,8.93E+10,0.25,3.57E+10,0.0000083,3290.0 kg/m³,0.882,N/A,N/A,N/A
OHARA S-NPH2,Optical,9.91E+10,0.249,3.97E+10,0.0000067,3580.0 kg/m³,0.969,N/A,N/A,N/A
OHARA S-NPH3,Optical,1.02E+11,0.243,4.11E+10,0.0000059,3590.0 kg/m³,1.007,N/A,N/A,N/A
OHARA S-NPH4,Optical,9.45E+10,0.254,3.77E+10,0.0000073,3610.0 kg/m³,0.925,N/A,N/A,N/A
OHARA S-NPH5,Optical,9.29E+10,0.256,3.70E+10,0.0000076,3710.0 kg/m³,0.877,N/A,N/A,N/A
OHARA S-NPH53,Optical,8.86E+10,0.258,3.52E+10,0.0000074,3780.0 kg/m³,0.83,N/A,N/A,N/A
OHARA S-NSL3,Optical,7.00E+10,0.217,2.88E+10,0.000009,2480.0 kg/m³,1.026,N/A,N/A,N/A
OHARA S-NSL5,Optical,6.91E+10,0.14,3.03E+10,0.0000082,2490.0 kg/m³,1.058,N/A,N/A,N/A
OHARA S-NSL36,Optical,6.40E+10,0.139,2.81E+10,0.000008,2460.0 kg/m³,1.089,N/A,N/A,N/A
OHARA S-PHM52,Optical,7.15E+10,0.292,2.77E+10,0.0000101,3670.0 kg/m³,0.599,N/A,N/A,N/A
OHARA S-PHM53,Optical,7.08E+10,0.285,2.75E+10,0.0000093,3510.0 kg/m³,0.615,N/A,N/A,N/A
OHARA S-TIH1,Optical,8.84E+10,0.247,3.55E+10,0.0000082,3060.0 kg/m³,1.018,N/A,N/A,N/A
OHARA S-TIH3,Optical,9.08E+10,0.254,3.62E+10,0.0000085,3110.0 kg/m³,1.027,N/A,N/A,N/A
OHARA S-TIH4,Optical,9.19E+10,0.254,3.67E+10,0.0000085,3150.0 kg/m³,1.01,N/A,N/A,N/A
OHARA S-TIH6,Optical,9.31E+10,0.261,3.69E+10,0.0000089,3370.0 kg/m³,1.011,N/A,N/A,N/A
OHARA S-TIH10,Optical,1.02E+11,0.243,4.12E+10,0.000008,3060.0 kg/m³,1.043,N/A,N/A,N/A
OHARA S-TIH11,Optical,9.12E+10,0.255,3.63E+10,0.0000089,3240.0 kg/m³,1.017,N/A,N/A,N/A
OHARA S-TIH13,Optical,8.99E+10,0.249,3.60E+10,0.0000083,3100.0 kg/m³,1.034,N/A,N/A,N/A
OHARA S-TIH14,Optical,8.88E+10,0.254,3.54E+10,0.0000087,3170.0 kg/m³,1.027,N/A,N/A,N/A
OHARA S-TIH18,Optical,8.91E+10,0.248,3.57E+10,0.0000083,3070.0 kg/m³,1.029,N/A,N/A,N/A
OHARA S-TIH23,Optical,9.22E+10,0.26,3.66E+10,0.0000088,3300.0 kg/m³,0.992,N/A,N/A,N/A
OHARA S-TIH53,Optical,9.60E+10,0.266,3.79E+10,0.0000088,3540.0 kg/m³,1,N/A,N/A,N/A
OHARA S-TIH53W,Optical,9.60E+10,0.266,3.79E+10,0.0000088,3540.0 kg/m³,1,N/A,N/A,N/A
OHARA S-TIL1,Optical,7.05E+10,0.222,2.88E+10,0.0000086,2540.0 kg/m³,1.039,N/A,N/A,N/A
OHARA S-TIL2,Optical,6.99E+10,0.22,2.86E+10,0.0000082,2520.0 kg/m³,1.051,N/A,N/A,N/A
OHARA S-TIL6,Optical,6.48E+10,0.146,2.83E+10,0.0000082,2500.0 kg/m³,1.059,N/A,N/A,N/A
OHARA S-TIL25,Optical,7.53E+10,0.22,3.09E+10,0.0000074,2590.0 kg/m³,1.054,N/A,N/A,N/A
OHARA S-TIL26,Optical,7.39E+10,0.222,3.02E+10,0.0000079,2570.0 kg/m³,1.054,N/A,N/A,N/A
OHARA S-TIL27,Optical,7.49E+10,0.217,3.08E+10,0.0000074,2580.0 kg/m³,1.07,N/A,N/A,N/A
OHARA S-TIM1,Optical,7.86E+10,0.234,3.19E+10,8.1,2710.0 kg/m³,1.043,N/A,N/A,N/A
OHARA S-TIM2,Optical,7.76E+10,0.23,3.15E+10,0.0000081,2690.0 kg/m³,1.394,N/A,N/A,N/A
OHARA S-TIM3,Optical,7.79E+10,0.229,3.17E+10,0.0000077,2670.0 kg/m³,1.044,N/A,N/A,N/A
OHARA S-TIM5,Optical,7.63E+10,0.233,3.09E+10,0.0000083,2630.0 kg/m³,1.04,N/A,N/A,N/A
OHARA S-TIM8,Optical,7.50E+10,0.231,3.05E+10,0.0000084,2630.0 kg/m³,1.034,N/A,N/A,N/A
OHARA S-TIM22,Optical,7.98E+10,0.238,3.22E+10,0.0000083,2790.0 kg/m³,1.024,N/A,N/A,N/A
OHARA S-TIM25,Optical,8.41E+10,0.236,3.40E+10,0.0000079,2910.0 kg/m³,1.046,N/A,N/A,N/A
OHARA S-TIM27,Optical,7.93E+10,0.236,3.21E+10,0.000008,2760.0 kg/m³,1.035,N/A,N/A,N/A
OHARA S-TIM28,Optical,8.55E+10,0.242,3.44E+10,0.0000082,2980.0 kg/m³,1.006,N/A,N/A,N/A
OHARA S-TIM35,Optical,8.75E+10,0.238,3.53E+10,0.0000075,2960.0 kg/m³,1.049,N/A,N/A,N/A
OHARA S-TIM39,Optical,8.17E+10,0.246,3.28E+10,0.0000087,2920.0 kg/m³,0.988,N/A,N/A,N/A
OHARA S-YGH51,Optical,1.22E+11,0.291,4.73E+10,0.0000058,4400.0 kg/m³,0.842,N/A,N/A,N/A
SCHOTT BAFN6,Optical,7.70E+10,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT BK7G18,Optical,8.20E+10,0.205,3.40E+10,7.00E-06,2520.0 kg/m³,1.19,820,N/A,N/A
